winner_country,country_home,home_country_weighted_score,country_away,away_country_weighted_score,home rank,away rank
Slovenia,Slovenia,0.593365625,Gibraltar,0.40042656249999997,0.593365625,0.40042656249999997
N/A,Spain,0.7047750000000002,Portugal,0.7097250000000002,0.7047750000000002,0.7097250000000002
N/A,Wales,0.49887499999999996,Albania,0.627125,0.49887499999999996,0.627125
N/A,Austria,0.4719562500000001,Slovakia,0.59356875,0.4719562500000001,0.59356875
Belgium,Belgium,0.8339043750000003,Croatia,0.5799009375000002,0.8339043750000003,0.5799009375000002
Denmark,Denmark,0.9597275000000003,Bosnia and Herzegovina,0.3811487499999999,0.9597275000000003,0.3811487499999999
England,England,1.1334331250000005,Romania,0.37156468749999993,1.1334331250000005,0.37156468749999993
Scotland,Luxembourg,0.39299437499999995,Scotland,0.69912375,0.39299437499999995,0.69912375
Netherlands,Netherlands,0.7609925000000003,Georgia,0.43973499999999993,0.7609925000000003,0.43973499999999993
Germany,Germany,0.7840600000000002,Latvia,0.40858249999999996,0.7840600000000002,0.40858249999999996
N/A,Serbia,0.6947500000000002,Jamaica,0.51025,0.6947500000000002,0.51025
Ukraine,Ukraine,0.70061625,Cyprus,0.4357856249999999,0.70061625,0.4357856249999999
Czechia,Czechia,0.5832854375000001,Albania,0.5721063437499999,0.5832854375000001,0.5721063437499999
France,France,0.9609675000000003,Bulgaria,0.34594124999999987,0.9609675000000003,0.34594124999999987
N/A,Hungary,0.8009775000000001,Republic of Ireland,0.46847249999999996,0.8009775000000001,0.46847249999999996
N/A,Poland,0.5264868749999999,Iceland,0.45402562499999993,0.5264868749999999,0.45402562499999993
Spain,Spain,0.8140025000000002,Lithuania,0.33288624999999994,0.8140025000000002,0.33288624999999994
Portugal,Portugal,0.8259475000000003,Israel,0.39438874999999995,0.8259475000000003,0.39438874999999995
Japan,Japan,0.6194750000000001,Serbia,0.6350125000000001,0.6194750000000001,0.6350125000000001
Italy,Italy,1.2861337687500005,Turkey,0.8148376781250001,1.2861337687500005,0.8148376781250001
N/A,Wales,0.5294567499999999,Switzerland,1.0799282500000005,0.5294567499999999,1.0799282500000005
Finland,Denmark,0.8897661250000003,Finland,0.57942275,0.8897661250000003,0.57942275
Belgium,Russia,0.48388040624999995,Belgium,0.9726185625000003,0.48388040624999995,0.9726185625000003
Austria,Austria,0.5754925000000002,North Macedonia,0.511638125,0.5754925000000002,0.511638125
Netherlands,Netherlands,0.9071533750000004,Ukraine,0.6275358125,0.9071533750000004,0.6275358125
England,England,1.3047665312500005,Croatia,0.49423423437500014,1.3047665312500005,0.49423423437500014
Czechia,Scotland,0.6350032906249999,Czechia,0.7115263562500002,0.6350032906249999,0.7115263562500002
Slovakia,Poland,0.4704840937499999,Slovakia,0.7055743125,0.4704840937499999,0.7055743125
N/A,Spain,0.8033023750000001,Sweden,0.610700125,0.8033023750000001,0.610700125
Portugal,Hungary,0.7196312500000001,Portugal,0.9886400000000004,0.7196312500000001,0.9886400000000004
France,Germany,0.6968086250000001,France,1.1354702500000005,0.6968086250000001,1.1354702500000005
